ID,שם הכלי,קישור,לוגו,דירוג,תיאור,חסרונות,יתרונות,מגבלות,הועלה ע"י,Timestamp
"f47ac10b-58cc-4372-a567-0e02b2c3d479","Canva","https://www.canva.com/","","4.5","כלי לעיצוב גרפי קל ונגיש ליצירת מצגות, פוסטרים ועוד","דורש הרשמה, עיצובים חוזרים על עצמם","אינטואיטיבי, תבניות מוכנות, שיתוף מהיר; רשיון מורחב מעולה למורים ולתלמידים","","","Wed Apr 09 2025 10:00:00 GMT+0300 (שעון ישראל (קיץ))"
"f47ac10b-58cc-4372-a567-0e02b2c3d480","Padlet","https://padlet.com/","","4","לוח שיתופי המאפשר פרסום תגובות, קישורים, תמונות בזמן אמת","בעיות פרטיות, דורש מייל","שיתוף בזמן אמת, מגוון תצוגות, נוח לשימוש","מספר לוחות חינמיים מוגבל","","2025-04-09 10:05"
"f47ac10b-58cc-4372-a567-0e02b2c3d481","ChatGPT","https://chat.openai.com/","","4.8","מודל שיחה מבוסס בינה מלאכותית ליצירת תוכן ולימוד","שפה זרה, תוצר לא תמיד מדויק","זמינות גבוהה, ניסוח רעיונות, ניסוח מחדש","לא מותאם לגילאים צעירים","","2025-04-09 10:10"
"f47ac10b-58cc-4372-a567-0e02b2c3d482","Book Creator","https://bookcreator.com/","","4.2","יצירת ספרים דיגיטליים עם מולטימדיה לתלמידים ומורים","באנגלית בלבד, לא תמיד יציב","תוצר מרהיב, קל לשיתוף, עידוד כתיבה","דורש הרשמה, הגבלה על מספר ספרים","","2025-04-09 10:15"
"f47ac10b-58cc-4372-a567-0e02b2c3d483","Wordwall","https://wordwall.net/","","3.9","יצירת משחקים אינטראקטיביים על בסיס תבניות קיימות","פרסומות, תבניות קבועות","מותאם עברית, קל לשימוש, תגובה מיידית","חלק מהפיצ'רים בתשלום","","2025-04-09 10:20"
"f47ac10b-58cc-4372-a567-0e02b2c3d484","קלוד","https://claude.ai/new","","4.6","צ'אט בינה מלאכותית מבית אנתרופיק, עם יכולות ארטיפקט ועוד","מוגבל יחסית במסלול החינמי;  לפעמים בגלל עומס מופיע בתצורה 'טיפשה' בשם הייקו.","עברית טובה, מבין קוד.","","",""
"f47ac10b-58cc-4372-a567-0e02b2c3d485","גרוק","grok.com","","5","צ'אט ומודל שפה מבית x tweeter. חזק ובעל יכולת שיחה ממושכת, טיפול בקבצים כבדים, יצירת קוד, יצירת תמונות ועוד. פחות מצונזר.","פחות מצונזר","שיחה ארוכה; יוצר קוד טוב; חכם למדי; תכנית חינם נדיבה ולכן פחות תסכול","","","2025-04-15T06:45:11.539Z"
"f47ac10b-58cc-4372-a567-0e02b2c3d486","וובסים Websim","Websim.ai","https://i0.wp.com/digitalpedagogy.co/wp-content/uploads/2024/07/11.jpg?fit=727%2C248&ssl=1","5","כלי ליצירת משחקים אינטראקטיביים, לומדות, חידונים ועוד. ","ממשק שצריך ללמוד כדי להבין; דורש המתנה ארוכה בין שלב לשלב","שילוב כמה סוגי בינה לבחירתך; מאפשר שילוב בינה במהלך הפעילות ולא רק בבנייה שלה; שיתוף קל, מאפשר רמיקס ושדרוג תכנים של אחרים","","","2025-04-15T09:20:51.302Z"
"f47ac10b-58cc-4372-a567-0e02b2c3d487","מג'יק סקול","https://app.magicschool.ai/tools","https://cdn.prod.website-files.com/67501fa3be497dbeef30e0e6/675021da4d781be205266a6b_6526f4f8a0ab0271982b08bf_Group%20108-p-500.png","4","כלי מתווך בינה עבור מורים, עם עשרות כרטיסים שמקצרים את תהליך העבודה מול הבינה וחוסכים ניסוח פרומפטים, ומרחיבים את החשיבה והדרכים לנצל את יכולות הבינה כמורים. בנוסף, ניתן להשתמש בכלי לצירית בוטים מותאמים עבור התלמידים (מאושר מכיתה ה'!), שמשתמשים באופן מאובטח בכלי.","התוצר לא תמיד מתקבל בעברית; יש קפיצות בתצוגה והחוייה לא זורמת","מאושר לתלמידים מכיתה ה' ומעלה; רשיון מורחב למורי ישראל","","","2025-04-15T20:04:26.159Z"
"f47ac10b-58cc-4372-a567-0e02b2c3d488","למון סלייס Lemon Slice","https://lemonslice.com/","https://lemonslice.com/_next/image?url=%2Flanding_assets%2Flogo.png&w=64&q=75","5","מנפיש ומדובב דמות מתמונה - הנעת תווי הפנים בהתאם לאודיו, כולל מעט הנפשה בשאר הגוף. מאפשר הוספת אודיו, הקלטה והחלפת קול, תוצאות נחמדות","לא ממש תומך בtts טקסט לדיבור בעברית; רזולוציה קצת נמוכה; הגבלה של 20 שניות בכל סרטון, 8 ד בחודש","תוצאות יפות; החלפת קול מצוינת","","","2025-04-21T05:31:26.818Z"
"f47ac10b-58cc-4372-a567-0e02b2c3d489","מוראי MorAI","https://morai.mindcet.org/","https://ce8f54c31e76d28a2165d749aec3bf43.cdn.bubble.io/f1703147409645x750750889580527500/Group%20339%20%282%29.svg","5","מתווך בינה למורים. מכיל אוסף פרומפטים מעולים, שניתן לסנן ולארגן. כולל מסלולים לפרויקטים עם כמה שלבים.","אינו מכיל את הבינה עצמה, מקושר אל צ'אטים שונים","פותח חשיבה ונותן רעיונות לניצול יכולות הבינה; מאפשר העלאת פרומפטים מהשטח; מגוון גדול, מותאם גם לחקר מעמיק ושלבי גיל שונים; מאפשר עריכה והתאמה של הפרומפט באופן מובנה","","","2025-04-21T10:38:38.034Z"
"f47ac10b-58cc-4372-a567-0e02b2c3d490","רב REVE","https://www.youtube.com/watch?v=wU__O0_R6yw","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW2G4A2_BMgp8bnwGVo5aezDljaz7yHFTfwg&s","5","מחולל תמונות בינה מלאכותית מתקדם, מקבל עברית ומשדרג את הפרומפט, מאפשר עריכה של חלקי הפרומט. קרדיטים מתחדשים. ","ממשק בסיסי, משתפר","איכות גבוהה של תוצרים - חדות, פרטים; עריכה של הפרומפט; קרדיטים יומיים מתחדשים, גם התשלום יחסית בעלות לא גבוהה","","","2025-04-28T07:35:48.309Z"
"f47ac10b-58cc-4372-a567-0e02b2c3d491","לאונרדו leonardo","https://app.leonardo.ai/","https://schoolblink.com/wp-content/uploads/2024/12/Leonardo-AI-logo.jpg","5","מחולל תמונות בינה ברמה גבוהה","מגבלה - 150 קרדיטים שמתחדשים אחרי יום","מאפשר לאמן מודל דמות - LORA; מאפשר להגדיל איכות של תמונות; ציור הופך לתמונת בינה בזמן אמת","","","2025-05-13T19:08:22.897Z"
"f47ac10b-58cc-4372-a567-0e02b2c3d492","ראא","https://websim.ai/@margolin/let-s-talk-english","","","אהרקט5ראנט6רק7ק8","","","","שטות,למחיקה","2025-06-01T10:13:53.895Z"
"f47ac10b-58cc-4372-a567-0e02b2c3d493","טאיא","https://websim.ai/p/2q5q3a6qliqttgt2ybbp","","","נט6קמ65חטי און וט ן","","","","user_2xtdU3Ei8NiF9toieegiD0jzhCO","2025-06-02T20:46:50.837Z"
